Foods,Key Micronutrients/Bioactive Compounds,Direct/Indirect Cognitive Benefits,Supporting Mechanisms
Salmon,"Omega-3 fatty acids (DHA, EPA), Protein, Vitamin D, Selenium","Supports brain's structure, function, and long-term health, Protects brain structure, Enhances information processing speed, Maintains healthy neural connections, Improves memory retention and recall, Abstract reasoning abilities, Protection against age-related cognitive decline, Improves fluid intelligence (children)","Neuronal membrane integrity, Anti-inflammatory, Supports brain cell membranes, Supports communication between brain cells, Neuroprotection"
Sardines,"Omega-3 polyunsaturated fatty acids (EPA, DHA), Protein, Calcium, Iron, Magnesium, Potassium, Phosphorus, Vitamin D, Vitamin B12, Selenium, CoQ10, Choline, Zinc, Vitamin B6, Folate","Support heart, brain, and metabolic health, Enhance brain function and mood, Reduce chronic inflammation, Improve lipid profiles, Support neurotransmitter activity, Support optimal neuronal activity and function, Maintain neuronal integrity and structure, Help body make energy for brain, Protect brain against senile dementia, AD, Parkinson's, Stroke","Neuronal membrane integrity, Anti-inflammatory, Neurotransmitter synthesis, Oxygen transport, Antioxidant, Supports nerve impulse transmission, Energy production, Homocysteine metabolism"
Sea Bass,"
","
","
"
Seaweed,"Iodine, Omega-3 fatty acids, B vitamins, Antioxidants","
","
"
Seaweed Oil,"Omega-3 (EPA/DHA), Iodine (trace), Vitamin D",,
Seaweed Snacks,"Iodine, Omega-3 fatty acids, B vitamins, Antioxidants","Support brain health, Cognitive function","Essential for thyroid hormones, Supports brain development, Antioxidant"
Semolina Pasta,"
","
","
"
Sesame Oil,"Healthy fats (monounsaturated, polyunsaturated), Omega-3, Omega-6 fatty acids, Antioxidants (sesamol, sesaminol, Vitamin E, lignans), Tyrosine","Support brain health, Cognitive function, Memory, Mood regulation, Reduce symptoms of depression and anxiety, Reduce risk of age-related cognitive decline and neurodegenerative diseases","Cell membrane formation, Supports communication between brain cells, Reduces inflammation, Protects brain cells from oxidative stress, Neurotransmitter synthesis (serotonin)"
Sesame Seeds,"Healthy fats, Protein, Fiber, Vitamins, Minerals (calcium, magnesium, phosphorus, zinc), Antioxidants, Lignans, B vitamins (niacin, riboflavin, B6), Sesamin, Tyrosine","Enhance brain function, Memory, Mood, Mental clarity, Support overall well-being, Reduce risk of chronic illnesses (neurodegenerative disorders), Help relieve stress, anxiety, and depression","Neuroprotective qualities, Supports neurotransmission, Antioxidant, Anti-inflammatory, Supports energy metabolism, Supports detoxification processes, Neurotransmitter synthesis (serotonin)"
Sourdough Pasta ,"
","
","
"
Soy Milk (Unsweetened),"
","
","
"
Soybean Oil,"
","
","
"
Soybeans,"Soy isoflavones (polyphenols), Protein, Fiber, Folate, B vitamins, Choline","Improve overall cognitive function, Visual memory, Episodic memory, Attention, Category fluency, Spatial memory, Verbal fluency, Short-term and long-term memory, Mental flexibility, Support healthy gut microbiome","Interacts with estrogen receptors (ER?), Antioxidant, Anti-inflammatory, Supports gut health, Neurotransmitter synthesis"
Spelt Pasta,"
","
","
"
Spinach,"Vitamin K, Lutein, Folate, Beta-carotene, Antioxidants, Nitrates, Magnesium, Vitamin C, Iron, Vitamin A","Keep mind sharp, Slow age-related memory changes, Protect brain cells, Lower risk of Alzheimer's disease, Lessen inflammation, Improve blood pressure, Reduce oxidative DNA damage, Promote brain function","Antioxidant, Anti-inflammatory, Prevents protein buildup in brain, Nitric oxide production (expands blood vessels), Supports DNA repair"
Spinach Pasta,"
","
","
"
Split Peas,"Folate, Manganese, Dietary Fiber, Protein, Iron, Thiamine (B1), Vitamin B6","Support cognitive functions, Build and repair tissues, Energy production, Healthy red blood cells","Cell and tissue growth, Bone development, Converts macronutrients to energy, Building blocks for body, Oxygen transport, Neurotransmitter synthesis"
Strawberries,"Anthocyanins, Ellagitannins, Ellagic acid, Vitamin C, Manganese, Dietary fiber, Antioxidants, Polyphenols","Enhance memory, Fewer depressive symptoms, Improve cognitive processing speed, Modest reduction in blood pressure, Improvements in antioxidant status","Antioxidant, Anti-inflammatory, Reduces oxidative stress, Supports metabolism, Neuroprotective, Modulates memory and learning"
Sturgeon,"
","
","
"
Sunflower Oil,"Vitamin E, Healthy fats","Protect cell membranes, brain cells, Lower risk for chronic diseases",Antioxidant
Sunflower Seeds,"Vitamin E, Phytochemicals, Iron, Magnesium, Antioxidants","Promote cognitive functions, Protect cell membranes, brain cells, Promote brain health, Prevent neurodegenerative diseases, Support cognitive health, Alleviate depression and anxiety","Antioxidant, Supports nerve function, Easing stress, Relieving migraines"
Sweet Corn,"
","
","
"
Sweet Potatoes,"
","
","
"
Swiss Chard,"Vitamin K, Lutein, Nitrate, Folate, Vitamin E, Kaempferol","Slow cognitive function decline with aging, Reduced inflammation","Supports DNA repair, Antioxidant, Anti-inflammatory"
Swiss Cheese,"
","
","
"
Tempeh,"Probiotics (Lactobacillus fermentum A2.8), GABA (gamma-aminobutyric acid), Folate, B12, Antioxidants","Cognitive benefits, Global cognitive improvement, Memory, Verbal fluency, Improved memory, Reduce risk of dementia and AD","Modulates gut microbiota, Synthesizes GABA (neurotransmitter), Antioxidant"
Tilsit Cheese,"
","
","
"
Tofu,"Soy isoflavones (polyphenols), Protein, Fiber, Vitamins, Minerals","Improve overall cognitive function, Visual memory, Episodic memory, Attention, Category fluency, Spatial memory, Verbal fluency, Short-term and long-term memory, Mental flexibility","Interacts with estrogen receptors (ER?), Antioxidant, Anti-inflammatory"
Tomatoes,"Lycopene, Carotenoids, Antioxidants","Revitalize brain health, Fight depression, Restore brain function, Reduce hippocampal damage, Increase BDNF levels, Promote synaptic plasticity, Enhance cognitive function","Antioxidant, Natural antidepressant effects, Increases BDNF expression, Supports learning and memory, Protects against oxidative chaos"
Trout,Omega-3 fatty acids,"Help with brain, memory, reducing inflammation",Anti-inflammatory
Turkey,"L-Tryptophan, Selenium, Tyrosine, Zinc, B-complex vitamins (niacin, B6, B12), Choline, Iron, Potassium, Magnesium, Phosphorus","Promotes better sleep, Mood stability, Improved attention and memory, Reduces and repairs damage to brain cells, Enhances cognitive performance, Essential for healthy brain function, learning, memory","Neurotransmitter synthesis, Antioxidant, Oxygen transport, Supports immune system, Supports nervous system health"
Walnut Oil,"
","
","
"
Walnuts,"Alpha-linolenic acid (ALA) (omega-3), Polyphenolic compounds, Protein, Antioxidants, Vitamin E","Boost brain function, Faster reaction times, Better memory performance, May help brain work more efficiently, Counteract oxidative stress and inflammation, May delay cognitive decline","Neuronal membrane integrity, Antioxidant, Anti-inflammatory, Improves glucose and fatty acid levels, Supports cognitive performance"
Wasabi,6-methylsulfinylhexyl isothiocyanate (6-MSITC),"Increase working memory, Increase episodic memory performance, Boost brain health","Antioxidant, Anti-inflammatory, Reduces inflammation in the hippocampus"
Wheat Germ Fortified Pasta,"
","
","
"
Whole Grain Pasta (non-wheat options),"
","
","
"
Whole Grain Seed Crackers,"B vitamins, Fiber, Antioxidants, Polyphenols","Supports steady energy levels, Digestive health, Promotes healthy brain function, Slower rate of global cognitive decline, Perceptual speed, Episodic memory","Energy production, Neurotransmitter production, Gut health, Antioxidant, Anti-inflammatory"
Whole Wheat,"B vitamins, Fiber, Antioxidants, Polyphenols, Vitamin E","Supports steady energy levels, Digestive health, Promotes healthy brain function, Slower rate of global cognitive decline, Perceptual speed, Episodic memory","Energy production, Neurotransmitter production, Gut health, Antioxidant, Anti-inflammatory, Protects brain cells from oxidative stress"
Whole Grain (Bread),"magnesium, zinc, and B vitamins",,
Whole Wheat Pasta,"
","
","
"
Yellow Catfish,"
","
","
"
Yogurt (Fermented),"
","
","
"
Zucchini,"Potassium, Manganese, Antioxidants (Vitamin C, A, lutein, ?-carotene, zeaxanthin), Folate, B vitamins (B6, riboflavin, thiamine, niacin), Fiber, Choline, Magnesium, Copper, Phosphorus, Vitamin K","Cognitive health, Maintaining upbeat mood, Preventing fatigue, Protect eye health, Maintain mental sharpness","Energy production, Supports healthy metabolism, Antioxidant, Protects retina, cornea, macula from UV light damage and oxidative stress, Cell growth, Tissue development and maintenance"
Blue Cheese,,,
Kimchi,,,
Lamb,,,
Olives,,,
Onions,,,
Prunes,,,
Watermelon,,,
Apple Cider Vinegar,,,
Balsamic Vinegar,,,
